iter	MAE
0	169426.0894
500	21309.47174
1000	9948.99663
1500	8422.830211
2000	7555.873311
2500	7403.407294
3000	7349.529627
3500	7300.543753
4000	7262.047801
4500	7244.291977
5000	7210.246839
5500	7154.860997
6000	7124.946836
6500	7107.35125
7000	7090.804272
7500	7080.036174
8000	7053.501144
8500	7036.545876
9000	7021.567323
9500	7013.241917
10000	7008.509722
10500	6999.967031
11000	6989.656577
11500	6985.637128
12000	6983.027787
12500	6982.147751
13000	6981.666391
13500	6980.858143
14000	6979.029489
14500	6976.41502
15000	6975.553573
